INFO 2025-02-21 05:55:12,207 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-21 05:55:12,207 autoreload Waiting for apps ready_event.
DEBUG 2025-02-21 05:55:12,505 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-02-21 05:55:12,518 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/templates with glob **/*.
DEBUG 2025-02-21 05:55:12,531 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,531 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/venv/lib/python3.13/site-packages/django_browser_reload/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,531 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/bms/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,531 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/attendance/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,531 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/accounts/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,531 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/inventory/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,531 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/customers/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,531 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/docspdf/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,532 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/core/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,532 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/notifications/locale with glob **/*.mo.
DEBUG 2025-02-21 05:55:12,532 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/static with glob **/*.
DEBUG 2025-02-21 05:55:12,532 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/venv/lib/python3.13/site-packages/django/contrib/admin/static with glob **/*.
DEBUG 2025-02-21 05:55:12,532 autoreload Watching dir /Users/skii/Library/CloudStorage/Dropbox/BMS/master/venv/lib/python3.13/site-packages/django_browser_reload/static with glob **/*.
